"city","live_pincode","has_trainer","nearest_live_with_trainer"
"delhi","110012","NO","110011"
"delhi","110013","NO","110011"
"delhi","110014","NO","110011"
"delhi","110015","NO","110011"
"delhi","110016","NO","110011"
"delhi","110017","NO","110011"
"delhi","110018","NO","110011"
"delhi","110019","NO","110011"
"delhi","110020","NO","110011"
"delhi","110021","NO","110011"
"delhi","110022","NO","110011"
"delhi","110023","NO","110011"
"delhi","110024","NO","110011"
"delhi","110025","NO","110011"
"delhi","110026","NO","110011"
"delhi","110027","NO","110011"
"delhi","110028","NO","110011"
"delhi","110029","NO","110011"
"delhi","110030","NO","110011"
"delhi","110031","NO","110011"
"delhi","110032","NO","110011"
"delhi","110033","NO","110011"
"delhi","110034","NO","110011"
"delhi","110035","NO","110011"
"delhi","110036","NO","110011"
"delhi","110037","NO","110011"
"delhi","110038","NO","110011"
"delhi","110039","NO","110011"
"delhi","110040","NO","110011"
"delhi","110041","NO","110011"
"delhi","110042","NO","110011"
"delhi","110043","NO","110011"
"delhi","110044","NO","110011"
"delhi","110045","NO","110011"
"delhi","110046","NO","110011"
"delhi","110047","NO","110011"
"delhi","110048","NO","110011"
"delhi","110049","NO","110011"
"delhi","110051","NO","110011"
"delhi","110052","NO","110011"
"delhi","110053","NO","110011"
"delhi","110054","NO","110011"
"delhi","110055","NO","110011"
"delhi","110056","NO","110011"
"delhi","110057","NO","110011"
"delhi","110058","NO","110011"
"delhi","110059","NO","110011"
"delhi","110060","NO","110011"
"delhi","110061","NO","110011"
"delhi","110062","NO","110011"
"delhi","110063","NO","110011"
"delhi","110064","NO","110011"
"delhi","110065","NO","110011"
"delhi","110066","NO","110011"
"delhi","110067","NO","110011"
"delhi","110068","NO","110011"
"delhi","110069","NO","110011"
"delhi","110070","NO","110011"
"delhi","110071","NO","110011"
"delhi","110072","NO","110011"
"delhi","110073","NO","110011"
"delhi","110074","NO","110011"
"delhi","110075","NO","110011"
"delhi","110076","NO","110011"
"delhi","110077","NO","110011"
"delhi","110078","NO","110011"
"delhi","110081","NO","110011"
"delhi","110082","NO","110011"
"delhi","110083","NO","110011"
"delhi","110084","NO","110011"
"delhi","110085","NO","110011"
"delhi","110086","NO","110011"
"delhi","110087","NO","110011"
"delhi","110088","NO","110011"
"delhi","110089","NO","110011"
"delhi","110090","NO","110011"
"delhi","110091","NO","110011"
"delhi","110092","NO","110011"
"delhi","110093","NO","110011"
"delhi","110094","NO","110011"
"delhi","110095","NO","110011"
"delhi","110096","NO","110011"
"mumbai","400011","NO","400010"
"mumbai","400012","NO","400010"
"mumbai","400013","NO","400010"
"mumbai","400014","NO","400010"
"mumbai","400015","NO","400010"
"mumbai","400016","NO","400010"
"mumbai","400017","NO","400010"
"mumbai","400018","NO","400010"
"mumbai","400019","NO","400010"
"mumbai","400020","NO","400010"
"mumbai","400021","NO","400010"
"mumbai","400022","NO","400010"
"mumbai","400023","NO","400010"
"mumbai","400024","NO","400010"
"mumbai","400025","NO","400010"
"mumbai","400026","NO","400010"
"mumbai","400027","NO","400010"
"mumbai","400028","NO","400010"
"mumbai","400029","NO","400010"
"mumbai","400030","NO","400049"
"mumbai","400031","NO","400049"
"mumbai","400032","NO","400049"
"mumbai","400033","NO","400049"
"mumbai","400034","NO","400049"
"mumbai","400035","NO","400049"
"mumbai","400036","NO","400049"
"mumbai","400037","NO","400049"
"mumbai","400038","NO","400049"
"mumbai","400039","NO","400049"
"mumbai","400040","NO","400049"
"mumbai","400041","NO","400049"
"mumbai","400042","NO","400049"
"mumbai","400043","NO","400049"
"mumbai","400050","NO","400049"
"mumbai","400051","NO","400052"
"mumbai","400055","NO","400054"
"mumbai","400057","NO","400056"
"mumbai","400058","NO","400056"
"mumbai","400059","NO","400061"
"mumbai","400060","NO","400061"
"mumbai","400062","NO","400061"
"mumbai","400063","NO","400061"
"mumbai","400064","NO","400061"
"mumbai","400065","NO","400061"
"mumbai","400066","NO","400061"
"mumbai","400067","NO","400061"
"mumbai","400068","NO","400061"
"mumbai","400069","NO","400061"
"mumbai","400070","NO","400061"
"mumbai","400071","NO","400061"
"mumbai","400072","NO","400061"
"mumbai","400073","NO","400061"
"mumbai","400074","NO","400061"
"mumbai","400075","NO","400061"
"mumbai","400076","NO","400061"
"mumbai","400077","NO","400061"
"mumbai","400078","NO","400061"
"mumbai","400079","NO","400061"
"mumbai","400080","NO","400061"
"mumbai","400081","NO","400061"
"mumbai","400082","NO","400061"
"mumbai","400083","NO","400061"
"mumbai","400084","NO","400061"
"mumbai","400085","NO","400061"
"mumbai","400086","NO","400061"
"mumbai","400087","NO","400061"
"mumbai","400088","NO","400061"
"mumbai","400089","NO","400061"
"mumbai","400090","NO","400061"
"mumbai","400091","NO","400061"
"mumbai","400092","NO","400061"
"mumbai","400093","NO","400061"
"mumbai","400094","NO","400061"
"mumbai","400095","NO","400061"
"mumbai","400096","NO","400061"
"mumbai","400097","NO","400061"
"mumbai","400098","NO","400061"
"mumbai","400099","NO","400061"
"bangalore","560011","NO","560010"
"bangalore","560012","NO","560010"
"bangalore","560013","NO","560010"
"bangalore","560014","NO","560010"
"bangalore","560015","NO","560010"
"bangalore","560016","NO","560010"
"bangalore","560017","NO","560010"
"bangalore","560018","NO","560024"
"bangalore","560019","NO","560024"
"bangalore","560020","NO","560024"
"bangalore","560021","NO","560024"
"bangalore","560022","NO","560024"
"bangalore","560023","NO","560024"
"bangalore","560025","NO","560024"
"bangalore","560026","NO","560024"
"bangalore","560027","NO","560024"
"bangalore","560028","NO","560024"
"bangalore","560029","NO","560032"
"bangalore","560030","NO","560032"
"bangalore","560031","NO","560032"
"bangalore","560033","NO","560032"
"bangalore","560034","NO","560032"
"bangalore","560035","NO","560032"
"bangalore","560036","NO","560032"
"bangalore","560037","NO","560032"
"bangalore","560038","NO","560032"
"bangalore","560039","NO","560032"
"bangalore","560040","NO","560032"
"bangalore","560041","NO","560032"
"bangalore","560042","NO","560032"
"bangalore","560043","NO","560032"
"bangalore","560044","NO","560032"
"bangalore","560045","NO","560032"
"bangalore","560046","NO","560032"
"bangalore","560047","NO","560032"
"bangalore","560048","NO","560032"
"bangalore","560049","NO","560032"
"bangalore","560050","NO","560032"
"bangalore","560051","NO","560032"
"bangalore","560052","NO","560032"
"bangalore","560053","NO","560032"
"bangalore","560054","NO","560032"
"bangalore","560055","NO","560032"
"bangalore","560056","NO","560032"
"bangalore","560057","NO","560032"
"bangalore","560058","NO","560032"
"bangalore","560059","NO","560032"
"bangalore","560060","NO","560032"
"bangalore","560061","NO","560032"
"bangalore","560062","NO","560032"
"bangalore","560063","NO","560032"
"bangalore","560064","NO","560032"
"bangalore","560065","NO","560032"
"bangalore","560066","NO","560032"
"bangalore","560067","NO","560032"
"bangalore","560068","NO","560032"
"bangalore","560069","NO","560032"
"bangalore","560070","NO","560032"
"bangalore","560071","NO","560032"
"bangalore","560072","NO","560032"
"bangalore","560073","NO","560032"
"bangalore","560074","NO","560032"
"bangalore","560075","NO","560032"
"bangalore","560076","NO","560032"
"bangalore","560077","NO","560032"
"bangalore","560078","NO","560032"
"bangalore","560079","NO","560032"
"bangalore","560080","NO","560032"
"bangalore","560081","NO","560032"
"bangalore","560082","NO","560032"
"bangalore","560083","NO","560032"
"bangalore","560084","NO","560032"
"bangalore","560085","NO","560032"
"bangalore","560086","NO","560032"
"bangalore","560087","NO","560032"
"bangalore","560088","NO","560032"
"bangalore","560089","NO","560032"
"bangalore","560090","NO","560032"
"bangalore","560091","NO","560032"
"bangalore","560092","NO","560032"
